CODE,DESCRIPTION,FUNCTIONAL GROUP
HC_LEPT,Leptastrea,Hard coral
TRASH_PLAS,plastic,Trash
HC_Homo_LOBO,Homophyllia,Lobophyllidae
SG_Hal_CYM,Halodule,Cymodoceaceae
HC_Psam_PSAM,Psammocora,Psammocoridae
HC_Gal.a_GAL,Galaxea astreata,Galaxea
SG_Zos,Zosteraceae,Seagrass
MA_Jani,Jania,Macroalgae
SG_Zost.c_ZOST,Zostera capricorni,Zostera
BS_Roc,Rock,Bare substrate
HC_Heli_FUN,Heliofungia,Fungiidae
HC_Pori.r_SYN,Porites rus,Synarea
HYDROZO_Sty_STYL,Stylaster,Stylasteridae
SG_Cym_CYM,Cymodocea,Cymodoceaceae
SC_Dend_NEPT,Dendronepthea,Nephtheidae
MA_Geli,Gelidium,Macroalgae
SC_Clav_CLA,Clavularia,Clavulariidae
SC_Alcy,Alcyonacea,Soft coral
HC_Isop_ACR,Isopora,Acroporidae
HC_COSCI,Coscinaraeidae,Hard coral
HC_Sty_POR,Stylaraea,Poritidae
SC_Clav,Clavulariidae,Soft coral
HC_Cyph_MERU,Cyphastrea,Merulinidae
HC_Aust_MUSS,Australomussa,Mussidae
HC_Eup_EUP,Euphyllia,Euphyllidae
MA_Cyst,Cystoseira,Macroalgae
HC_Lept_AGA,Leptoseris,Agariciidae
TA_Epili,Epilithic algal matrix,Turf algae
SG_Halo.d_HAL,Halophila decipiens,Halophila
SC_Alcyo,Alcyoniidae,Soft coral
SG_Rup.spp_RUP,Ruppia,Ruppiaceae
HC_Ber_POR,Bernardpora,Poritidae
MA_Zell,Zellera,Macroalgae
HC_Gyr_MEAN,Gyrosmilia,Meandrinidae
MA_Dict,Dictyota,Macroalgae
OINV_Asci,Ascidian,Other invertebrates
HC_HELI,Helioporidae,Hard coral
FIRECOR_Mil_MIL,Millepora,Milleporidae
OINV_Strin.Hy,Stinging hydroid,Other invertebrates
SC_Clad,Cladiella,Soft coral
HC_Plat_MERU,Platygyra,Merulinidae
HC_Syn_POR,Synarea,Poritidae
NON.SC_Corali,Coralimorph,Non-scleractinian
HC_LOBO,Lobophyllidae,Hard coral
HC_ACROP,Acroporidae,Hard coral
HC_Halo_FUN,Halomitra,Fungiidae
MA_Caul,Caulerpa,Macroalgae
HC_Pod_FUN,Podabacia,Fungiidae
HC_PECT,Pectiniidae,Hard coral
BAM.COR_Isi_ISID,Isis,Isididae
HC_OCUL,Oculinidae,Hard coral
